Model,Accuracy,Precision,Recall,F1,ROC,CrossValidation
Logistic Regression,0.7480482611781405,0.5206971677559913,0.6390374331550802,0.5738295318127251,0.8081841432225063,0.8126382503612243
Decision Tree,0.7239176721078779,0.4821852731591449,0.5427807486631016,0.5106918238993711,0.6658554858043348,0.7917360655019922
Random Forest,0.7615330021291696,0.5394190871369294,0.6951871657754011,0.6074766355140186,0.8317355137048231,0.8394551717092108
XGBoost,0.7707594038325053,0.5597189695550351,0.6390374331550802,0.5967540574282147,0.8247888088041541,0.8468248026037333
Random Forest Tuned,0.7636621717530163,0.5466970387243736,0.6417112299465241,0.5904059040590406,0.8218760494975329,0.8483934643956974
XGBoost Tuned,0.772888573456352,0.5661764705882353,0.6176470588235294,0.5907928388746803,0.8179596476271669,0.846946086372725
